Date,Close
25/07/2018,37.65
26/07/2018,36.75
27/07/2018,37.53
30/07/2018,37.67
31/07/2018,37.91
01/08/2018,37.14
02/08/2018,36.62
03/08/2018,37.73
06/08/2018,37.6
07/08/2018,37.58
08/08/2018,37.66
09/08/2018,37.51
10/08/2018,36.59
13/08/2018,36.16
14/08/2018,36.2
15/08/2018,35.94
16/08/2018,36.29
17/08/2018,36.38
20/08/2018,36.77
21/08/2018,36.91
22/08/2018,36.13
23/08/2018,35.67
24/08/2018,35.95
27/08/2018,37.69
28/08/2018,37.32
29/08/2018,37.12
30/08/2018,36.36
31/08/2018,36.05
04/09/2018,35.6
05/09/2018,35.29
06/09/2018,34.38
07/09/2018,33.91
10/09/2018,33.87
11/09/2018,33.77
12/09/2018,34.06
13/09/2018,34.25
14/09/2018,34.63
17/09/2018,35.02
18/09/2018,35.1
19/09/2018,35.73
20/09/2018,36.08
21/09/2018,35.32
24/09/2018,34.75
25/09/2018,33.55
26/09/2018,33.73
27/09/2018,33.67
28/09/2018,33.67
01/10/2018,34.2
02/10/2018,33.3
03/10/2018,34
04/10/2018,34.25
05/10/2018,34.12
08/10/2018,34.25
09/10/2018,32.65
10/10/2018,32.6
11/10/2018,32.31
12/10/2018,31.79
15/10/2018,32.12
16/10/2018,32.34
17/10/2018,31.93
18/10/2018,31.08
19/10/2018,31.2
22/10/2018,31.34
23/10/2018,32.12
24/10/2018,30.56
25/10/2018,32
26/10/2018,32.65
29/10/2018,33.13
30/10/2018,33.54
31/10/2018,36.59
01/11/2018,36.47
02/11/2018,36.03
05/11/2018,36.25
06/11/2018,36.46
07/11/2018,36.88
08/11/2018,36.57
09/11/2018,35.7
12/11/2018,35.69
13/11/2018,35.93
14/11/2018,35.23
15/11/2018,35.55
16/11/2018,35.75
19/11/2018,35.68
20/11/2018,35.09
21/11/2018,35.55
23/11/2018,35.93
26/11/2018,37.65
27/11/2018,36.69
28/11/2018,36.95
29/11/2018,36.76
30/11/2018,37.95
03/12/2018,38.45
04/12/2018,36.52
06/12/2018,35.7
07/12/2018,34.69
10/12/2018,34.42
11/12/2018,34.69
12/12/2018,35.68
13/12/2018,35.11
14/12/2018,35.1
17/12/2018,34.66
18/12/2018,34.9
19/12/2018,34.93
20/12/2018,34.27
21/12/2018,32.98
24/12/2018,32.37
26/12/2018,33.52
27/12/2018,33.96
28/12/2018,33.92
31/12/2018,33.45
02/01/2019,33.64
03/01/2019,32.25
04/01/2019,33.33
07/01/2019,34.36
08/01/2019,34.81
09/01/2019,35.18
10/01/2019,34.73
11/01/2019,37.18
14/01/2019,37.66
15/01/2019,37.55
16/01/2019,37.67
17/01/2019,38.26
18/01/2019,38.61
22/01/2019,38.15
23/01/2019,37.67
24/01/2019,38.16
25/01/2019,38.64
28/01/2019,38.46
29/01/2019,38.47
30/01/2019,39.09
31/01/2019,39.02
01/02/2019,38.78
04/02/2019,38.93
05/02/2019,39.3
06/02/2019,39.91
07/02/2019,38.65
08/02/2019,38.7
11/02/2019,38.63
12/02/2019,39.03
13/02/2019,39
14/02/2019,38.89
15/02/2019,39.09
19/02/2019,39.53
20/02/2019,39.95
21/02/2019,39.62
22/02/2019,39.99
25/02/2019,40.14
26/02/2019,40.11
27/02/2019,40
28/02/2019,39.48
01/03/2019,39.53
04/03/2019,39.25
05/03/2019,39.28
06/03/2019,38.67
07/03/2019,38.04
08/03/2019,37.99
11/03/2019,38.62
12/03/2019,38.62
13/03/2019,38.8
14/03/2019,38.03
15/03/2019,38.07
18/03/2019,37.98
19/03/2019,38.27
20/03/2019,37
21/03/2019,37.35
22/03/2019,36.44
25/03/2019,36.75
26/03/2019,36.87
27/03/2019,36.61
28/03/2019,37.06
29/03/2019,37.1
01/04/2019,37.76
02/04/2019,37.81
03/04/2019,38.39
04/04/2019,38.79
05/04/2019,38.94
08/04/2019,39.06
09/04/2019,38.86
10/04/2019,39.25
